IP地址,端口,IP段,大洲,国家,城市
217.195.200.52,80,217.195.200.0/23,AS,AE,Dubai
176.97.67.38,443,176.97.64.0/21,AS,AE,Dubai
176.97.78.80,2053,176.97.78.0/24,AS,AE,Dubai
193.123.81.105,443,193.122.0.0/15,AS,AE,Dubai
212.192.215.163,443,212.192.214.0/23,AS,AE,N/A
139.185.34.131,443,139.185.32.0/19,AS,AE,Dubai
212.192.215.7,443,212.192.214.0/23,AS,AE,N/A
139.185.50.5,14594,139.185.32.0/19,AS,AE,Dubai
129.151.128.105,16731,129.151.0.0/16,AS,AE,Masdar City
152.32.181.246,44070,152.32.176.0/21,AS,AE,Dubai
193.123.90.82,12648,193.122.0.0/15,AS,AE,Dubai
159.100.198.106,443,159.100.192.0/20,AS,AE,Dubai
45.86.228.104,443,45.86.228.0/23,AS,AE,Al Fujairah City
193.123.66.187,34501,193.122.0.0/15,AS,AE,Dubai
139.185.39.237,48008,139.185.32.0/19,AS,AE,Dubai
38.180.11.201,443,38.180.11.0/24,AS,AE,Dubai
5.44.42.166,2053,5.44.42.0/24,AS,AE,Dubai
129.151.128.114,34834,129.151.0.0/16,AS,AE,Masdar City
176.97.66.175,443,176.97.64.0/21,AS,AE,Dubai
84.235.245.18,34501,84.235.224.0/19,AS,AE,Dubai
98.98.236.58,15608,98.98.236.0/22,AS,AE,Dubai
217.195.200.138,443,217.195.200.0/23,AS,AE,Dubai
103.167.234.131,8443,103.167.234.0/23,EU,AL,Tirana
103.167.234.131,2053,103.167.234.0/23,EU,AL,Tirana
213.159.76.175,443,213.159.64.0/20,AS,AM,Yerevan
2.56.206.114,8443,2.56.204.0/22,AS,AM,Yerevan
194.156.103.31,8443,194.156.102.0/23,AS,AM,N/A
194.156.103.58,41210,194.156.102.0/23,AS,AM,N/A
213.159.76.202,8443,213.159.64.0/20,AS,AM,Yerevan
2.56.205.182,2053,2.56.204.0/22,AS,AM,N/A
213.159.76.202,2053,213.159.64.0/20,AS,AM,Yerevan
2.56.204.183,443,2.56.204.0/22,AS,AM,N/A
2.56.206.114,2053,2.56.204.0/22,AS,AM,Yerevan
2.56.205.182,8443,2.56.204.0/22,AS,AM,N/A
2.56.206.64,443,2.56.204.0/22,AS,AM,Yerevan
185.217.197.166,443,185.217.197.0/24,EU,AT,Vienna
193.233.232.82,8443,193.233.232.0/23,EU,AT,Vienna
147.45.41.153,2053,147.45.40.0/22,EU,AT,Vienna
94.177.8.3,443,94.177.8.0/23,EU,AT,Langenzersdorf
94.177.8.2,443,94.177.8.0/23,EU,AT,Langenzersdorf
94.177.8.31,443,94.177.8.0/23,EU,AT,Langenzersdorf
94.177.8.19,443,94.177.8.0/23,EU,AT,Langenzersdorf
94.177.8.40,443,94.177.8.0/23,EU,AT,Langenzersdorf
94.177.8.26,443,94.177.8.0/23,EU,AT,Langenzersdorf
94.177.8.9,443,94.177.8.0/23,EU,AT,Langenzersdorf
212.113.119.130,443,212.113.119.0/24,EU,AT,Vienna
94.177.8.54,443,94.177.8.0/23,EU,AT,Langenzersdorf
94.177.8.4,443,94.177.8.0/23,EU,AT,Langenzersdorf
94.177.8.50,443,94.177.8.0/23,EU,AT,Langenzersdorf
94.177.8.5,443,94.177.8.0/23,EU,AT,Langenzersdorf
94.177.8.60,443,94.177.8.0/23,EU,AT,Langenzersdorf
94.177.8.8,443,94.177.8.0/23,EU,AT,Langenzersdorf
193.233.232.30,2053,193.233.232.0/23,EU,AT,Vienna
147.45.41.209,443,147.45.40.0/22,EU,AT,Vienna
94.177.8.11,443,94.177.8.0/23,EU,AT,Langenzersdorf
94.228.169.108,443,94.228.168.0/23,EU,AT,Vienna
94.177.8.48,443,94.177.8.0/23,EU,AT,Langenzersdorf
77.73.131.16,2053,77.73.131.0/24,EU,AT,Vienna
147.45.41.155,2053,147.45.40.0/22,EU,AT,Vienna
94.177.8.34,443,94.177.8.0/23,EU,AT,Langenzersdorf
94.177.8.10,443,94.177.8.0/23,EU,AT,Langenzersdorf
147.45.41.139,8443,147.45.40.0/22,EU,AT,Vienna
147.45.41.12,2053,147.45.40.0/22,EU,AT,Vienna
193.233.233.75,8443,193.233.232.0/23,EU,AT,Vienna
193.233.233.235,2053,193.233.232.0/23,EU,AT,Vienna
94.177.8.23,443,94.177.8.0/23,EU,AT,Langenzersdorf
77.73.131.77,2053,77.73.131.0/24,EU,AT,Vienna
94.177.8.21,443,94.177.8.0/23,EU,AT,Langenzersdorf
193.233.232.226,2053,193.233.232.0/23,EU,AT,Vienna
94.177.8.6,443,94.177.8.0/23,EU,AT,Langenzersdorf
77.73.131.188,443,77.73.131.0/24,EU,AT,Vienna
94.177.8.51,443,94.177.8.0/23,EU,AT,Langenzersdorf
212.113.106.234,2053,212.113.106.0/24,EU,AT,Vienna
185.217.197.105,2053,185.217.197.0/24,EU,AT,Vienna
94.177.8.62,443,94.177.8.0/23,EU,AT,Langenzersdorf
147.45.71.213,8443,147.45.68.0/22,EU,AT,Vienna
94.177.8.43,443,94.177.8.0/23,EU,AT,Langenzersdorf
193.233.232.30,8443,193.233.232.0/23,EU,AT,Vienna
193.233.233.148,443,193.233.232.0/23,EU,AT,Vienna
192.9.183.128,45673,192.9.128.0/18,OC,AU,Bungarribee
192.9.180.162,443,192.9.128.0/18,OC,AU,Bungarribee
82.97.247.226,2053,82.97.247.0/24,OC,AU,N/A
192.9.184.12,1013,192.9.128.0/18,OC,AU,Bungarribee
152.67.102.161,19286,152.67.0.0/16,OC,AU,Bungarribee
54.79.133.41,443,54.64.0.0/12,OC,AU,Sydney
13.54.198.183,443,13.32.0.0/11,OC,AU,Sydney
152.69.174.99,25248,152.69.160.0/19,OC,AU,Bungarribee
192.9.190.80,23862,192.9.128.0/18,OC,AU,Bungarribee
82.97.247.226,8443,82.97.247.0/24,OC,AU,N/A
125.7.24.251,443,125.7.0.0/17,OC,AU,Sydney
192.9.184.12,1010,192.9.128.0/18,OC,AU,Bungarribee
170.64.240.100,443,170.64.128.0/17,OC,AU,Sydney
206.201.196.122,443,206.201.196.0/22,OC,AU,Sydney
45.77.236.204,443,45.76.0.0/15,OC,AU,Sydney
152.67.101.72,23010,152.67.0.0/16,OC,AU,Bungarribee
170.64.192.191,31257,170.64.128.0/17,OC,AU,Sydney
3.24.174.233,443,3.24.0.0/14,OC,AU,Sydney
139.99.236.163,443,139.99.0.0/16,OC,AU,Sydney
170.64.152.77,7443,170.64.128.0/17,OC,AU,Sydney
130.162.193.183,15401,130.162.192.0/21,OC,AU,Melbourne
209.38.16.180,4002,209.38.0.0/16,OC,AU,Sydney
95.164.62.196,443,95.164.62.0/23,EU,BE,Brussels
34.22.190.30,443,34.16.0.0/12,EU,BE,Brussels
185.82.218.224,443,185.82.216.0/22,EU,BG,Sofia
78.128.127.89,443,78.128.127.0/24,EU,BG,Sofia
193.239.160.25,443,193.239.160.0/23,EU,BG,Sofia
213.183.63.68,36651,213.183.60.0/22,EU,BG,Sofia
185.82.218.224,9443,185.82.216.0/22,EU,BG,Sofia
213.183.63.185,443,213.183.60.0/22,EU,BG,Sofia
193.239.160.24,443,193.239.160.0/23,EU,BG,Sofia
185.82.218.224,8443,185.82.216.0/22,EU,BG,Sofia
213.183.63.71,53811,213.183.60.0/22,EU,BG,Sofia
85.239.55.179,34688,85.239.52.0/22,EU,BG,Sofia
185.216.68.91,443,185.216.68.0/24,EU,BG,N/A
